,author,book_name,book_url,date,img,price,publisher,translator
0,[法] 圣埃克苏佩里 ,小王子,https://book.douban.com/subject/1084336/, 2003-8 ,https://img1.doubanio.com/spic/s1237549.jpg, 22.00元, 人民文学出版社 , 马振聘 
1,[美] 卡勒德·胡赛尼 ,追风筝的人,https://book.douban.com/subject/1770782/, 2006-5 ,https://img3.doubanio.com/spic/s1727290.jpg, 29.00元, 上海人民出版社 , 李继宏 
2,,围城,https://book.douban.com/subject/1008145/, 1991-2 ,https://img3.doubanio.com/spic/s1070222.jpg, 19.00, 人民文学出版社 ,钱锺书 
3,,活着,https://book.douban.com/subject/1082154/, 1998-5 ,https://img3.doubanio.com/spic/s23836852.jpg, 12.00元, 南海出版公司 ,余华 
4,[日] 东野圭吾 ,白夜行,https://book.douban.com/subject/3259440/, 2008-9 ,https://img3.doubanio.com/spic/s4610502.jpg, 29.80元, 南海出版公司 , 刘姿君 
5,[日] 村上春树 ,挪威的森林,https://book.douban.com/subject/1046265/, 2001-2 ,https://img3.doubanio.com/spic/s1228930.jpg, 18.80元, 上海译文出版社 , 林少华 
6,(日)东野圭吾 ,解忧杂货店,https://book.douban.com/subject/25862578/, 2014-5 ,https://img1.doubanio.com/spic/s27284878.jpg, 39.50元, 南海出版公司 , 李盈春 
7,[捷克] 米兰·昆德拉 ,不能承受的生命之轻,https://book.douban.com/subject/1017143/, 2003-7 ,https://img1.doubanio.com/spic/s1091698.jpg, 23.00元, 上海译文出版社 , 许钧 
8,,红楼梦,https://book.douban.com/subject/1007305/, 1996-12 ,https://img1.doubanio.com/spic/s1070959.jpg, 59.70元, 人民文学出版社 ,[清] 曹雪芹 著 
9,,梦里花落知多少,https://book.douban.com/subject/1016300/, 2003-11 ,https://img1.doubanio.com/spic/s1513378.jpg, 20.00元, 春风文艺出版社 ,郭敬明 
10,,三体,https://book.douban.com/subject/2567698/, 2008-1 ,https://img1.doubanio.com/spic/s2768378.jpg, 23.00, 重庆出版社 ,刘慈欣 
11,[美] 丹·布朗 ,达·芬奇密码,https://book.douban.com/subject/1040771/, 2004-2 ,https://img3.doubanio.com/spic/s1513425.jpg, 28.00元, 上海人民出版社 , 朱振武 
12,[日] 东野圭吾 ,嫌疑人X的献身,https://book.douban.com/subject/3211779/, 2008-9 ,https://img3.doubanio.com/spic/s3254244.jpg, 28.00, 南海出版公司 , 刘子倩 
13,,1988：我想和这个世界谈谈,https://book.douban.com/subject/5275059/, 2010-9 ,https://img3.doubanio.com/spic/s4477716.jpg, 25.00元, 国际文化出版公司 ,韩寒 
14,,何以笙箫默,https://book.douban.com/subject/1461903/, 2007-4 ,https://img3.doubanio.com/spic/s2529195.jpg, 15.00元, 朝华出版社 ,顾漫 
15,,看见,https://book.douban.com/subject/20427187/, 2013-1-1 ,https://img3.doubanio.com/spic/s24468373.jpg, 39.80元, 广西师范大学出版社 ,柴静 
16,,简爱,https://book.douban.com/subject/1141406/, 2003-11 ,https://img3.doubanio.com/spic/s5924326.jpg, 18.00元, 世界图书出版公司 ,[英] 夏洛蒂·勃朗特 
17,,平凡的世界（全三部）,https://book.douban.com/subject/1200840/, 2005-1 ,https://img3.doubanio.com/spic/s1144911.jpg, 64.00元, 人民文学出版社 ,路遥 
18,[英] J. K. 罗琳 ,哈利·波特与魔法石,https://book.douban.com/subject/1041007/, 2000-9 ,https://img3.doubanio.com/spic/s1990480.jpg, 19.50元, 人民文学出版社 , 苏农 
19,[哥伦比亚] 加西亚·马尔克斯 ,百年孤独,https://book.douban.com/subject/6082808/, 2011-6 ,https://img3.doubanio.com/spic/s6384944.jpg, 39.50元, 南海出版公司 , 范晔 
20,[美国] 玛格丽特·米切尔 ,飘（上下）,https://book.douban.com/subject/1068920/, 2000-9 ,https://img1.doubanio.com/spic/s1078958.jpg, 40.00元, 译林出版社 , 李美华 
21,,杜拉拉升职记,https://book.douban.com/subject/2256039/, 2007-9 ,https://img3.doubanio.com/spic/s3012803.jpg, 26.00元, 陕西师范大学出版社 ,李可 
22,,三重门,https://book.douban.com/subject/1026425/, 2000-5 ,https://img3.doubanio.com/spic/s1024882.jpg, 16.00, 作家出版社 ,韩寒 
23,,送你一颗子弹,https://book.douban.com/subject/4238362/, 2010-1 ,https://img1.doubanio.com/spic/s4243447.jpg, 25.00元, 上海三联书店 ,刘瑜 
24,,倾城之恋,https://book.douban.com/subject/1090043/, 1997-3-1 ,https://img3.doubanio.com/spic/s1077102.jpg, 11.00, 花城出版社 ,张爱玲 
25,[法] 圣埃克苏佩里 ,小王子,https://book.douban.com/subject/1084336/, 2003-8 ,https://img1.doubanio.com/spic/s1237549.jpg, 22.00元, 人民文学出版社 , 马振聘 
